oil_concentration,sample_id,Heptacosane,Octacosane,Nonacosane,Triacontane,Hentriacontane,Dotriacontane,Tritriacontane,Tetratriacontane,Pentatriacontane
5,5FT0,7.736374874,10.94808405,11.76261378,11.29817957,11.3735813,9.88925722,10.8865041,16.96044499,9.144960108
5,5FT13,10.15346671,9.280700587,7.478038259,7.182775928,7.2307123,6.287058748,6.921054769,10.78254025,34.68365245
5,5FTE,7.736374874,10.94808405,11.76261378,11.29817957,11.3735813,9.88925722,10.8865041,16.96044499,9.144960108
50,50T0,6.008334154,8.502657695,9.135249423,8.774553884,8.833113455,30.01690554,8.454832591,13.17206348,7.102289774
50,50T13,22.76601015,19.21881492,1.643827457,4.692637482,10.42355619,8.508651526,4.905317159,10.82998222,17.01120289
50,50TE,3.003131692,15.89161761,9.467751573,7.429274974,13.34750147,8.161792961,10.18071173,15.26790564,17.25031236
50,50FT0,5.139431974,8.480058366,7.81414478,7.505611643,7.555702554,4.591012123,7.232127214,7.57550574,44.10640561
50,50FT13,3.961261306,7.241913405,1.243872791,9.737668646,1.790717807,25.98891357,3.337095006,33.05474655,13.64381092
50,50FTE,4.769035135,6.748871192,7.250982442,6.964685167,2.275645246,6.096164665,11.37994311,30.07017498,24.44449806
500,500FT0,8.64453894,10.9974896,10.78262537,12.48529506,11.38063754,11.93764736,9.55791104,14.35732977,9.856525321
500,500FT13,10.98825211,11.89571902,11.78146602,11.44406386,11.42826608,9.780069117,10.2822693,12.42496808,9.974926418
500,500FTE,8.675651311,11.2852889,11.7678631,12.48139633,11.41526397,9.626728037,9.914898197,13.99168633,10.84122382
