oil_concentration,sample_id,Hexadecane,Pristane,Heptadecane,Phytane,Octadecane,Nonadecane,Icosane,Heneicosane,Docosane,Tricosane,Tetracosane,Pentacosane,Hexacosane
5,5FT0,18.88824445,7.151325338,9.078701682,5.459302168,13.65672421,7.988541264,7.964507628,7.328031521,8.418309205,7.124801258,4.900087065,1.965599219,0.075824995
5,5FT13,4.52091705,31.92181929,1.10197159,14.57879685,6.172164656,4.273626134,6.546945724,7.657259977,16.16977019,0.335889709,0.333029898,0.341048946,6.046759996
5,5FTE,2.907439501,30.21102581,0.213467214,14.02016575,1.206029019,1.260465293,1.31007754,1.34265079,1.369614449,13.46716789,29.76724151,1.434274121,1.490381102
50,50T0,47.22613923,9.610417602,15.00561256,4.790721841,5.975330914,5.141974433,4.060573423,3.170741796,3.618111936,1.262378033,0.06574861,0.035431791,0.036817837
50,50T13,45.4170268,9.167328537,15.09402102,4.095953968,5.384293367,3.808445611,2.799707198,1.962102723,6.046128072,2.990035505,1.845763336,0.940901874,0.448291995
50,50TE,46.74821413,10.20499222,15.17002044,3.988499219,5.468772951,3.943907638,3.034247578,2.035692244,5.500634582,2.435487933,0.840817185,0.394866675,0.233847212
50,50FT0,44.56954762,10.47379958,18.61736801,4.916561792,5.882538083,4.485735054,3.606448516,2.35445463,1.89056392,1.057280896,0.601560381,1.247941967,0.296199556
50,50FT13,46.11700634,10.31368415,12.80814934,5.03946005,5.898609482,4.857789407,3.995588498,2.779529114,2.272254471,1.861936238,1.69073068,1.628822487,0.73643974
50,50FTE,41.43634858,19.73150794,11.21864088,9.192570976,5.639752251,5.062824859,4.481314278,2.527237312,0.525209668,0.045444768,0.045057844,0.046142795,0.047947843
500,500FT0,8.283233961,16.35037598,20.12997369,9.238477281,10.24756677,9.037846516,8.055148904,5.597220579,3.37354094,6.197776262,2.265851681,0.832073461,0.390913973
500,500FT13,7.449067828,16.58041579,22.04528473,8.919435289,10.38334271,8.687726218,6.966191712,6.185726241,4.555232154,4.366022458,2.040080298,1.074008122,0.747466458
500,500FTE,7.86332235,18.81099936,23.96534243,9.334816988,10.87091877,8.318256158,7.027061952,4.401013361,3.736166361,2.925297131,1.768649379,0.605384926,0.372770836
