oil_concentration,sample_id,Naphthalene,2-Methylnaphthalene,1-Methylnaphthalene,"1,6-Dimethylnaphthalene",Acenaphthylene,Acenaphthene,"2,3,5-Trimethylnaphthalene",Fluorene,Dibenzothiophene,Phenanthrene,Anthracene,2-Methyldibenzothiophene,2-Methylphenanthrene,"2,8-Dimethyldibenzothiophene","2,4-Dimethylphenanthrene",Pyrene,"1,2,6-Trimethylphenanthrene","1,2,8-Trimethylphenanthrene",1-Methylfluoranthene,Benzo[e]phenanthrene,Benz[a]anthracene,Triphenylene,Chrysene,1-Methylchrysene,6-Ethylchrysene,Benzo[b]fluoranthene,Benzo[k]fluoranthene,Benzo[j]fluoranthene,Benzo[e]pyrene,Benzo[a]pyrene,Perylene,"Dibenz[a,h]anthracene","Indeno[1,2,3-c,d]pyrene","Benzo[g,h,i]perylene"
5,5FT0,3.884440344,27.76594306,18.36398717,23.70816097,0.959418512,1.137093094,12.36780373,1.848922571,0.196883839,0.828484848,0.207598484,0.203542353,2.456356981,0.207185692,1.356596125,0.459416704,0.507439354,0.295571932,0.183342466,0.218133653,0.199589476,0.342742681,0.119162905,0.196755215,0.236493924,0.231791685,0.124684124,0.135865403,0.163941242,0.215522295,0.242721699,0.229458512,0.224235796,0.180713161
5,5FT13,2.277240574,24.27313567,20.90200037,26.461264,0.825473317,1.20480056,13.64490114,1.88657952,0.180143839,0.763602364,0.189947473,0.186236215,2.264168521,0.189569779,0.901691735,0.355811389,0.242894386,0.106752746,0.167753818,0.199586893,0.199693633,0.178099362,0.201984432,0.210121284,0.214530456,0.212083653,0.215909862,0.169954299,0.204398392,0.197197565,0.222084346,0.129653205,0.205170202,0.215565011
5,5FTE,1.781304729,2.239623575,2.187955231,2.218263858,2.911968656,2.247285247,2.680465169,3.028171231,2.567456692,3.192118671,2.707180634,2.654286813,2.831223665,2.701797634,2.819053405,2.646563379,5.826107328,2.936309176,2.390870906,2.844564142,2.846085424,2.538318282,3.575273758,6.439335072,3.057543685,3.02267121,1.972011137,3.258665026,2.913138874,2.810510819,3.165203674,2.992245561,2.924138916,3.072288422
50,50T0,4.84849792,27.94838649,19.03926414,19.19904824,0.967526333,0.976560371,8.908317439,3.236361197,0.02411931,1.553363195,0.068859734,0.034517228,6.019990128,0.041826405,2.96032845,0.98455364,1.00797411,0.519488921,0.189512523,0.124957671,0.098901619,0.221333516,0.128203962,0.143931052,0.141513589,0.090330652,0.081681761,0.091677049,0.076253012,0.024394892,0.080509989,0.057126135,0.053776017,0.056913311
50,50T13,4.771881846,29.73581203,19.55441566,22.56996377,0.997902075,1.104981645,11.33436239,2.086034623,0.017416419,0.906742623,0.045890122,0.028139539,3.283939877,0.025343073,1.580566581,0.558284741,0.539674725,0.265808375,0.076584422,0.039307619,0.048244734,0.042781237,0.030765037,0.031422257,0.031210335,0.026978845,0.040627457,0.041059896,0.02802556,0.014041047,0.05365419,0.015307948,0.036901472,0.035927823
50,50TE,0.736123013,26.46125179,16.82527894,27.29157309,0.953202405,1.155433337,11.1553739,3.021163256,0.023240324,1.302753941,0.070076507,0.031265508,4.869060878,0.037563256,2.655619849,0.874825165,0.886619716,0.54091249,0.112333983,0.081650555,0.073672115,0.074498796,0.035779212,0.077519144,0.079145801,0.037598395,0.079654699,0.06270051,0.038488967,0.072751252,0.081932625,0.077455532,0.075692563,0.047788478
50,50FT0,4.876402572,28.06028601,18.73371317,22.90933329,1.09701724,1.143845176,11.48272822,2.537720378,0.019454028,1.100844343,0.055310456,0.040900712,4.124849208,0.033598542,1.949360653,0.383149345,0.367738522,0.21848193,0.101789092,0.018389425,0.035164889,0.107547591,0.099459856,0.068055801,0.068320789,0.050385257,0.047891577,0.052927552,0.053930523,0.036959709,0.022020737,0.02445624,0.024883011,0.053084154
50,50FT13,2.56078428,30.80961098,21.43426604,23.26188251,1.044218876,1.036075647,9.738820321,1.969982219,0.021617127,0.875814194,0.066118383,0.028293847,3.075856917,0.032537806,1.621801649,0.665762278,0.547204739,0.419121675,0.08028323,0.043304094,0.035951726,0.02725214,0.039694411,0.039209263,0.074675418,0.037015224,0.059191396,0.059159005,0.030889923,0.031290052,0.077304834,0.066457063,0.05369201,0.034860723
50,50FTE,0.954026889,10.89629299,12.62836324,28.94988671,1.593111109,1.7754258,16.32765226,5.355266027,0.041745534,1.608119735,0.125823575,0.063716684,8.824531692,0.073232894,4.871716762,1.752828312,1.692460679,0.799182905,0.212948156,0.153561081,0.053796034,0.091921612,0.069963662,0.084976963,0.14210765,0.06438845,0.062770376,0.112579847,0.065929472,0.130626126,0.147111441,0.139072742,0.06017466,0.074687919
500,500FT0,5.818774058,29.77212204,20.50529058,23.96667454,1.057640866,1.068815942,10.89637661,1.516984006,0.026062414,0.650042882,0.022675986,0.033938991,2.311142098,0.036378034,1.052993831,0.339510383,0.269290394,0.121190283,0.055656593,0.040122378,0.042275115,0.039704292,0.040898651,0.042891992,0.02561071,0.04040888,0.012182077,0.020289195,0.036949618,0.023541504,0.026512495,0.025063757,0.02449328,0.037495525
500,500FT13,2.412705318,31.38644481,20.82380262,23.16424849,1.114239611,1.169487033,12.19146952,1.616421862,0.024593912,0.761176198,0.021556853,0.033728381,2.561035397,0.035368044,1.235091723,0.413260592,0.353233232,0.164460598,0.060842339,0.041469105,0.015422525,0.044317685,0.037863474,0.040307731,0.024346739,0.038645479,0.024503286,0.019287858,0.036361512,0.022379655,0.025204019,0.023826781,0.023284458,0.039613149
500,500FTE,0.119153869,31.39893052,20.07632545,25.97887299,1.072344343,1.162340875,12.82058633,1.593094751,0.01560257,0.686923469,0.013728168,0.026523485,2.565883981,0.025455869,1.226018356,0.377563843,0.341455245,0.150051863,0.051167172,0.028988948,0.023857695,0.026746018,0.024189213,0.025868959,0.008494821,0.023963904,0.015604561,0.012283192,0.022778964,0.014252158,0.016050813,0.015173738,0.014828368,0.024895494
