oil_concentration,sample_id,Undecane,Dodecane,Tridecane,Tetradecane,Pentadecane
5,5FT0,0.0973982,17.27178484,26.08533971,21.06033709,35.48514017
5,5FT13,3.140644748,52.51077495,4.615042503,16.80089768,22.93264012
5,5FTE,2.932251834,63.47459396,4.084415211,6.176960405,23.33177859
50,50T0,13.17248107,16.37250672,23.4476513,25.1073632,21.89999771
50,50T13,15.59361557,16.66459587,22.73020477,24.62849045,20.38309334
50,50TE,16.15789514,18.0066629,23.59234392,22.7852009,19.45789714
50,50FT0,17.15822746,18.74311332,24.29555683,22.83091317,16.97218922
50,50FT13,17.14930782,17.90696604,23.052688,23.32576292,18.56527522
50,50FTE,15.93081597,17.21851249,23.14157603,23.59026516,20.11883034
500,500FT0,22.20355589,17.79056889,23.81285296,20.84304302,15.34997925
500,500FT13,19.05091706,18.55080544,23.87030461,22.39492481,16.13304807
500,500FTE,19.68009305,18.80902327,24.17921126,21.96752188,15.36415054
