oil_concentration,fertilized,sample_id,Benz,Ebenz,Tol,mXyl,pXyl,IPBenz,oXyl,nPBenz,x135TMBenz,x124TMBenz,secBBenz,pIPTol,nBBenz,Naph
5,y,5FT0,0,3.211476821,8.6921032,6.147477455,6.147477455,1.088264578,7.996459376,4.9281688,10.16903603,41.92949639,0.624842449,1.971194493,3.840901175,3.25310178
5,y,5FT13,0.638436593,7.517445091,17.82067951,0,0,1.830485952,22.43804364,8.081488872,25.20875573,0.909840117,0.561647637,4.083473557,6.098880356,4.810822939
5,y,5FTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,n,50T0,0.448609742,2.585369522,4.437726255,8.704305597,8.680504537,0.815289842,5.149999785,3.008636743,8.37390362,48.32714951,2.661037144,1.485150027,2.68589755,2.636420124
50,n,50T13,0.673046917,2.929394466,5.610665482,9.147293247,9.145830483,0.807513663,6.202632875,3.132458579,8.715382634,45.26225945,1.980836573,1.491260434,2.58761087,2.313814324
50,n,50TE,0.685662694,2.903926654,6.781893808,9.789218241,9.765739423,1.333925061,7.011179514,1.834649494,10.36975752,43.85036461,1.592560897,1.804441766,1.510409872,0.766270449
50,y,50FT0,0.64731211,3.66703169,5.75992145,9.855946887,9.816808892,1.022558539,6.845538303,3.986689611,8.996707907,40.65939629,2.166109738,1.821004643,2.816955612,1.938018325
50,y,50FT13,0.692066082,3.557939244,6.474175153,9.795442263,9.795442263,0.899582808,7.186184213,3.657714079,9.654090166,40.64297194,2.565469486,1.546352557,2.435915984,1.096653765
50,y,50FTE,0,8.445014342,0,0.286426474,0.286426474,6.72939379,0.775982472,5.215326906,57.93119742,0.937718762,3.701258718,8.579556155,4.338911594,2.772786889
500,y,500FT0,2.094556117,7.196909369,13.10601009,11.72178711,11.72178711,1.236660154,12.17699037,4.427414497,8.808214343,18.42227031,2.012811442,1.626156764,2.364129559,3.084302757
500,y,500FT13,1.728083599,6.328773231,11.21760915,11.13042898,11.13042898,1.31189462,11.75031116,4.91502375,10.14573736,19.15369199,2.93375057,2.5713238,3.683197406,1.99974541
500,y,500FTE,2.019973011,7.308334009,12.42433626,12.44858502,12.44858502,1.387246672,12.33136767,4.495868764,8.929369546,19.97592258,1.917021847,1.632502645,2.233620655,0.447266304
