oil_concentration,sample_id,Benzene,Ethylbenzene,Toluene,m-Xylene,p-Xylene,Isopropylbenzene,O-Xylene,n-Propylbenzene,"1,3,5-Trimethylbenzene","1,2,4-Trimethylbenzene",sec-Butylbenzene,P-Isopropyltoluene,n-Butylbenzene,Naphthalene
5,5FT0,0.862775048,3.172616334,8.586924375,6.073089883,6.073089883,1.075096029,7.899698192,4.868535476,10.04598557,41.42212837,0.964556842,1.947342047,3.794424337,3.213737611
5,5FT13,1.544460969,6.968994166,16.52053458,1.370187516,1.370187516,1.696939022,20.80102925,7.491886954,23.36959824,3.240202067,1.726661427,3.785555205,5.653923788,4.459839292
5,5FTE,4.112369713,5.803682161,9.017346968,3.648339297,3.648339297,14.92890114,10.02956157,5.999886665,7.737107542,8.627546513,4.597507026,5.724120161,7.826965698,8.298326246
50,50T0,0.448609742,2.585369522,4.437726255,8.704305597,8.680504537,0.815289842,5.149999785,3.008636743,8.37390362,48.32714951,2.661037144,1.485150027,2.68589755,2.636420124
50,50T13,0.673046917,2.929394466,5.610665482,9.147293247,9.145830483,0.807513663,6.202632875,3.132458579,8.715382634,45.26225945,1.980836573,1.491260434,2.58761087,2.313814324
50,50TE,0.685662694,2.903926654,6.781893808,9.789218241,9.765739423,1.333925061,7.011179514,1.834649494,10.36975752,43.85036461,1.592560897,1.804441766,1.510409872,0.766270449
50,50FT0,0.64731211,3.66703169,5.75992145,9.855946887,9.816808892,1.022558539,6.845538303,3.986689611,8.996707907,40.65939629,2.166109738,1.821004643,2.816955612,1.938018325
50,50FT13,0.692066082,3.557939244,6.474175153,9.795442263,9.795442263,0.899582808,7.186184213,3.657714079,9.654090166,40.64297194,2.565469486,1.546352557,2.435915984,1.096653765
50,50FTE,0.500346885,8.310107246,1.09712934,0.281850879,0.281850879,6.621893325,0.763586336,5.132013298,57.00576032,0.922738928,3.64213199,8.442499785,4.269598513,2.728492278
500,500FT0,2.094556117,7.196909369,13.10601009,11.72178711,11.72178711,1.236660154,12.17699037,4.427414497,8.808214343,18.42227031,2.012811442,1.626156764,2.364129559,3.084302757
500,500FT13,1.728083599,6.328773231,11.21760915,11.13042898,11.13042898,1.31189462,11.75031116,4.91502375,10.14573736,19.15369199,2.93375057,2.5713238,3.683197406,1.99974541
500,500FTE,2.019973011,7.308334009,12.42433626,12.44858502,12.44858502,1.387246672,12.33136767,4.495868764,8.929369546,19.97592258,1.917021847,1.632502645,2.233620655,0.447266304
